start_time,axis1,axis2,axis3,steps,lux
2012-04-17 17:50:00,1062,2203,1307,24,1062
2012-04-17 17:51:00,2184,4481,3419,17,2184
2012-04-17 17:52:00,2207,4131,2671,15,2207
2012-04-17 17:53:00,2582,3172,3366,32,2582
2012-04-17 17:54:00,3067,3678,3376,33,3067
2012-04-17 17:55:00,5788,5527,5587,48,5788
2012-04-17 17:56:00,3567,3897,4313,26,3567
2012-04-17 17:57:00,4072,4137,2895,30,4072
2012-04-17 17:58:00,2084,3276,3899,21,2084
2012-04-17 17:59:00,2591,2116,3750,21,2591
2012-04-17 18:00:00,1548,1976,3035,17,1548
2012-04-17 18:01:00,2033,2214,2330,22,2033
2012-04-17 18:02:00,2083,3268,3225,16,2083
2012-04-17 18:03:00,4507,5183,4252,38,4507
2012-04-17 18:04:00,5271,5844,7300,39,5271
2012-04-17 18:05:00,2649,5622,2551,30,2649
2012-04-17 18:06:00,3719,3033,2649,24,3719
2012-04-17 18:07:00,4654,5197,3499,29,4654
2012-04-17 18:08:00,3643,3292,3586,22,3643
2012-04-17 18:09:00,2342,2580,1790,17,2342
2012-04-17 18:10:00,2994,3133,1860,24,2994
2012-04-17 18:11:00,1828,2576,1967,16,1828
2012-04-17 18:12:00,890,1321,1193,5,890
2012-04-17 18:13:00,1268,1436,1096,5,1268
2012-04-17 18:14:00,1190,1515,800,8,1190
2012-04-17 18:15:00,2044,3073,2155,15,2044
2012-04-17 18:16:00,4000,3633,3506,40,4000
2012-04-17 18:17:00,5791,4629,4589,40,5791
2012-04-17 18:18:00,2646,3597,4338,27,2646
2012-04-17 18:19:00,1341,1567,2067,12,1341
2012-04-17 18:20:00,822,1289,1008,6,822
2012-04-17 18:21:00,311,1206,762,6,311
2012-04-17 18:22:00,268,499,673,2,268
2012-04-17 18:23:00,0,0,14,0,0
2012-04-17 18:24:00,0,0,0,0,0
2012-04-17 18:25:00,0,50,141,0,0
2012-04-17 18:26:00,65,328,428,2,65
2012-04-17 18:27:00,943,1566,1910,22,943
2012-04-17 18:28:00,705,628,1173,7,705
2012-04-17 18:29:00,1483,1032,1446,16,1483
2012-04-17 18:30:00,1472,1389,1582,17,1472
2012-04-17 18:31:00,1655,1861,1581,20,1655
2012-04-17 18:32:00,4923,4205,3899,39,4923
2012-04-17 18:33:00,1107,1546,2846,16,1107
2012-04-17 18:34:00,25,104,1648,0,25
2012-04-17 18:35:00,1352,874,1936,10,1352
2012-04-17 18:36:00,2421,2564,2826,16,2421
2012-04-17 18:37:00,532,928,639,5,532
2012-04-17 18:38:00,59,74,181,1,59
2012-04-17 18:39:00,0,0,0,0,0
2012-04-17 18:40:00,102,132,294,2,102
2012-04-17 18:41:00,460,495,488,5,460
2012-04-17 18:42:00,215,748,584,3,215
2012-04-17 18:43:00,852,1294,753,5,852
2012-04-17 18:44:00,318,1342,893,8,318
2012-04-17 18:45:00,0,351,308,0,0
2012-04-17 18:46:00,690,1341,894,8,690
2012-04-17 18:47:00,31,548,326,0,31
2012-04-17 18:48:00,0,0,0,0,0
2012-04-17 18:49:00,163,601,288,4,163
2012-04-17 18:50:00,4735,3340,2765,25,4735
2012-04-17 18:51:00,5487,5001,5065,32,5487
2012-04-17 18:52:00,15193,12981,11106,68,15193
2012-04-17 18:53:00,4247,3919,3443,30,4247
2012-04-17 18:54:00,3949,4326,3832,32,3949
2012-04-17 18:55:00,2993,3125,3320,21,2993
2012-04-17 18:56:00,3504,3020,3160,28,3504
2012-04-17 18:57:00,3982,4150,2905,25,3982
2012-04-17 18:58:00,5818,5426,6219,37,5818
2012-04-17 18:59:00,1451,1604,1022,13,1451
2012-04-17 19:00:00,347,422,387,10,347
2012-04-17 19:01:00,971,1154,792,9,971
2012-04-17 19:02:00,560,351,430,3,560
2012-04-17 19:03:00,1478,1720,1890,7,1478
2012-04-17 19:04:00,1387,1268,1986,6,1387
2012-04-17 19:05:00,3645,4561,6569,19,3645
2012-04-17 19:06:00,2606,3819,2826,17,2606
2012-04-17 19:07:00,671,609,450,3,671
2012-04-17 19:08:00,220,786,523,4,220
2012-04-17 19:09:00,653,1154,1058,3,653
2012-04-17 19:10:00,1091,1444,1413,8,1091
2012-04-17 19:11:00,1090,1764,1053,11,1090
2012-04-17 19:12:00,297,262,208,5,297
2012-04-17 19:13:00,258,183,208,5,258
2012-04-17 19:14:00,11,72,12,1,11
2012-04-17 19:15:00,160,320,143,3,160
2012-04-17 19:16:00,201,685,396,9,201
2012-04-17 19:17:00,565,817,762,4,565
2012-04-17 19:18:00,3173,3078,3557,15,3173
2012-04-17 19:19:00,2372,4138,2334,18,2372
2012-04-17 19:20:00,3194,2928,3488,23,3194
2012-04-17 19:21:00,5339,4311,4379,28,5339
2012-04-17 19:22:00,4470,3723,4705,32,4470
2012-04-17 19:23:00,5312,5171,4052,34,5312
2012-04-17 19:24:00,7600,6008,6416,39,7600
2012-04-17 19:25:00,5340,5033,6285,39,5340
2012-04-17 19:26:00,4384,4976,5831,37,4384
2012-04-17 19:27:00,5223,4475,6265,28,5223
2012-04-17 19:28:00,3172,3927,5727,33,3172
2012-04-17 19:29:00,2443,3375,5196,26,2443
2012-04-17 19:30:00,6546,5678,7033,31,6546
2012-04-17 19:31:00,4237,4099,3899,25,4237
2012-04-17 19:32:00,4759,4480,3789,31,4759
2012-04-17 19:33:00,1416,1532,1804,8,1416
2012-04-17 19:34:00,786,511,808,7,786
2012-04-17 19:35:00,1483,1160,1901,10,1483
2012-04-17 19:36:00,1607,1322,2763,16,1607
2012-04-17 19:37:00,5180,4366,4337,44,5180
2012-04-17 19:38:00,2929,3397,3739,25,2929
2012-04-17 19:39:00,5630,4940,6129,33,5630
2012-04-17 19:40:00,3679,2800,3377,21,3679
2012-04-17 19:41:00,2347,2454,2196,16,2347
2012-04-17 19:42:00,3637,2987,4397,25,3637
2012-04-17 19:43:00,2848,3296,4658,19,2848
2012-04-17 19:44:00,5034,5090,5321,34,5034
2012-04-17 19:45:00,2015,2215,2282,27,2015
2012-04-17 19:46:00,2370,2619,1306,14,2370
2012-04-17 19:47:00,3398,2943,2770,35,3398
2012-04-17 19:48:00,6088,4238,4878,27,6088
2012-04-17 19:49:00,6234,5166,5072,32,6234
2012-04-17 19:50:00,7129,4560,4641,33,7129
2012-04-17 19:51:00,3545,2222,3892,37,3545
2012-04-17 19:52:00,9198,6323,6882,46,9198
2012-04-17 19:53:00,7200,7370,7275,35,7200
2012-04-17 19:54:00,2676,2681,4595,21,2676
2012-04-17 19:55:00,5336,5536,4986,23,5336
2012-04-17 19:56:00,3809,6011,5018,26,3809
2012-04-17 19:57:00,985,1748,2409,10,985
2012-04-17 19:58:00,160,766,545,3,160
2012-04-17 19:59:00,361,1248,1936,4,361
2012-04-17 20:00:00,24,74,207,1,24
2012-04-17 20:01:00,51,30,170,1,51
2012-04-17 20:02:00,0,11,25,0,0
2012-04-17 20:03:00,1916,4301,3666,16,1916
2012-04-17 20:04:00,3343,4198,2100,26,3343
2012-04-17 20:05:00,706,1253,765,9,706
