start_time,axis1,axis2,axis3,steps
2015-02-08 20:01:00,4195,3032,3491,15
2015-02-08 20:02:00,1630,1375,1785,10
2015-02-08 20:03:00,2097,1523,2140,14
2015-02-08 20:04:00,3810,1532,1551,61
2015-02-08 20:05:00,4767,2830,2958,35
2015-02-08 20:06:00,2176,1863,2173,29
2015-02-08 20:07:00,2933,1900,1580,38
2015-02-08 20:08:00,1434,1399,1246,52
2015-02-08 20:09:00,1163,612,544,7
2015-02-08 20:10:00,1958,1028,1435,14
2015-02-08 20:11:00,6321,5388,4230,39
2015-02-08 20:12:00,4919,5791,4224,43
2015-02-08 20:13:00,6182,4385,3123,45
2015-02-08 20:14:00,4036,2899,2522,45
2015-02-08 20:15:00,2252,1286,1442,32
2015-02-08 20:16:00,2055,1211,1253,37
2015-02-08 20:17:00,2521,1265,974,11
2015-02-08 20:18:00,5295,4233,3786,48
2015-02-08 20:19:00,5314,2585,3572,25
2015-02-08 20:20:00,2571,2000,2618,19
2015-02-08 20:21:00,994,1077,2468,16
2015-02-08 20:22:00,2502,1651,2898,23
2015-02-08 20:23:00,3389,2459,2220,24
2015-02-08 20:24:00,2742,1731,1553,20
2015-02-08 20:25:00,674,777,896,9
2015-02-08 20:26:00,5333,4177,4609,22
2015-02-08 20:27:00,5074,3670,5154,37
2015-02-08 20:28:00,7511,4704,5048,34
2015-02-08 20:29:00,6203,3209,3419,19
2015-02-08 20:30:00,1083,551,1335,6
2015-02-08 20:31:00,1712,1480,1819,14
2015-02-08 20:32:00,184,827,253,5
2015-02-08 20:33:00,584,1172,1268,5
2015-02-08 20:34:00,695,894,1078,7
2015-02-08 20:35:00,9292,5162,4013,32
2015-02-08 20:36:00,5205,4316,3266,23
2015-02-08 20:37:00,10665,10658,6984,53
2015-02-08 20:38:00,5421,2620,2314,52
2015-02-08 20:39:00,3996,3181,3709,16
2015-02-08 20:40:00,4981,2606,3298,25
2015-02-08 20:41:00,197,444,607,2
2015-02-08 20:42:00,127,70,162,3
2015-02-08 20:43:00,1463,1260,1859,11
2015-02-08 20:44:00,189,184,428,2
2015-02-08 20:45:00,3154,3090,2113,17
2015-02-08 20:46:00,10417,7271,5258,44
2015-02-08 20:47:00,290,1063,1075,2
2015-02-08 20:48:00,69,149,101,0
2015-02-08 20:49:00,257,488,188,4
2015-02-08 20:50:00,5,85,49,1
2015-02-08 20:51:00,0,0,0,0
2015-02-08 20:52:00,0,0,0,0
2015-02-08 20:53:00,50,44,38,1
2015-02-08 20:54:00,0,1,0,0
2015-02-08 20:55:00,0,0,0,0
2015-02-08 20:56:00,0,0,0,0
2015-02-08 20:57:00,7,0,0,1
2015-02-08 20:58:00,19,35,47,2
2015-02-08 20:59:00,11,0,34,1
2015-02-08 21:00:00,45,52,11,3
2015-02-08 21:01:00,10,5,0,0
2015-02-08 21:02:00,81,75,868,2
2015-02-08 21:03:00,30,118,77,2
2015-02-08 21:04:00,50,18,50,1
2015-02-08 21:05:00,1638,1513,1693,9
